localdata,globaldata,date,x,y,localylabel,globalylabel,annotation,title,imgsrctext,imgsrcurl,localdatasrctext,localdatasrcurl,globaldatasrctext,globaldatasrcurl,moreinfo
null,0.007402105,2/5/1921,null,null,,,,,,,,,,,
null,0.060646026,5/28/1921,null,null,,,,,,,,,,,
281.742037,null,8/24/1921,null,null,,,,,,,,,,,
null,0.054728208,10/10/1921,null,null,,,,,,,,,,,
null,0.074446048,7/8/1922,null,null,,,,,,,,,,,
null,0.072473442,7/8/1922,null,null,,,,,,,,,,,
281.704531,null,10/30/1922,null,null,,,,,,,,,,,
281.6813897,null,5/28/1923,null,null,,,,,,,,,,,
null,0.072473442,7/26/1923,null,null,,,,,,,,,,,
null,0.072473442,8/17/1923,null,null,,,,,,,,,,,
null,0.088254289,10/24/1923,null,null,,,,,,,,,,,
null,0.074446048,12/8/1923,null,null,,,,,,,,,,,
null,0.076418654,12/8/1923,null,null,,,,,,,,,,,
null,0.07839126,12/8/1923,null,null,,,,,,,,,,,
281.6574101,null,2/17/1924,null,null,,,,,,,,,,,
null,0.182906496,9/4/1924,null,null,,,,,,,,,,,
null,0.194733912,12/3/1924,null,null,,,,,,,,,,,
281.5655352,null,4/15/1925,null,null,,,,,,,,,,,
281.5072382,null,8/16/1925,null,null,,,,,,,,,,,
null,0.228259993,9/22/1925,null,null,,,,,,,,,,,
281.4677271,null,12/25/1925,null,null,,,,,,,,,,,
null,0.247977833,2/4/1926,null,null,,,,,,,,,,,
null,0.253895651,2/4/1926,null,null,,,,,,,,,,,
281.4557949,null,2/15/1926,null,null,,,,,,,,,,,
281.442367,null,2/28/1926,null,null,,,,,,,,,,,
281.4330973,null,7/28/1926,null,null,,,,,,,,,,,
null,0.246005227,8/26/1926,null,null,,,,,,,,,,,
null,0.244032621,8/26/1926,null,null,,,,,,,,,,,
null,0.240087409,11/24/1926,null,null,,,,,,,,,,,
281.4228086,null,12/22/1926,null,null,,,,,,,,,,,
281.3756057,null,8/11/1927,null,null,,,,,,,,,,,
281.3514782,null,11/12/1927,null,null,,,,,,,,,,,
null,0.322912199,1/26/1928,null,null,,,,,,,,,,,
281.3333333,null,2/8/1928,null,null,,,,,,,,,,,
281.3608465,null,7/22/1928,null,null,,,,,,,,,,,
281.3707407,null,9/10/1928,null,null,,,,,,,,,,,
281.3753591,null,10/4/1928,null,null,,,,,,,,,,,
281.3714803,null,12/21/1928,null,null,,,,,,,,,,,
null,0.247977833,2/12/1929,null,null,,,,,,,,,,,
281.3610109,null,6/17/1929,null,null,,,,,,,,,,,
null,0.269668279,7/20/1929,null,null,,,,,,,,,,,
281.3537463,null,8/5/1929,null,null,,,,,,,,,,,
281.3368012,null,9/13/1929,null,null,,,,,,,,,,,
null,0.285440907,9/25/1929,null,null,,,,,,,,,,,
281.2775838,null,1/15/1930,null,null,,,,,,,,,,,
null,0.342630039,3/2/1930,null,null,,,,,,,,,,,
null,0.387983537,5/9/1930,null,null,,,,,,,,,,,
null,0.407701376,6/23/1930,null,null,,,,,,,,,,,
281.2395519,null,7/31/1930,null,null,,,,,,,,,,,
null,0.441227457,8/30/1930,null,null,,,,,,,,,,,
null,0.451090487,10/14/1930,null,null,,,,,,,,,,,
null,0.457008305,3/20/1931,null,null,,,,,,,,,,,
281.2552972,null,5/22/1931,null,null,,,,,,,,,,,
281.2728504,null,3/22/1932,null,null,,,,,,,,,,,
null,0.315029995,4/6/1932,null,null,,,,,,,,,,,
null,0.311093002,4/29/1932,null,null,,,,,,,,,,,
281.280723,null,7/13/1932,null,null,,,,,,,,,,,
281.2925402,null,11/26/1932,null,null,,,,,,,,,,,
281.2688894,null,11/26/1932,null,null,,,,,,,,,,,
null,0.297284761,1/24/1933,null,null,,,,,,,,,,,
281.3382804,null,3/7/1933,null,null,,,,,,,,,,,
281.391581,null,6/9/1933,null,null,,,,,,,,,,,
null,0.291366943,7/1/1933,null,null,,,,,,,,,,,
281.4369268,null,9/12/1933,null,null,,,,,,,,,,,
281.463914,null,12/27/1933,null,null,,,,,,,,,,,
null,0.277566921,3/6/1934,null,null,,,,,,,,,,,
281.4655576,null,7/1/1934,null,null,,,,,,,,,,,
281.4341656,null,11/20/1934,null,null,,,,,,,,,,,
null,0.224323,12/24/1934,null,null,,,,,,,,,,,
281.4185683,null,1/2/1935,null,null,,,,,,,,,,,
281.4266053,null,1/3/1935,null,null,,,,,,,,,,,
null,0.186859927,2/7/1935,null,null,,,,,,,,,,,
null,0.204605161,3/2/1935,null,null,,,,,,,,,,,
281.4094465,null,3/4/1935,null,null,,,,,,,,,,,
null,0.188832533,5/31/1935,null,null,,,,,,,,,,,
281.4067182,null,6/17/1935,null,null,,,,,,,,,,,
281.4208857,null,9/11/1935,null,null,,,,,,,,,,,
null,0.131651619,5/3/1936,null,null,,,,,,,,,,,
281.4232688,null,5/18/1936,null,null,,,,,,,,,,,
null,0.14150643,5/25/1936,null,null,,,,,,,,,,,
null,0.129679013,7/9/1936,null,null,,,,,,,,,,,
null,0.058689859,9/15/1936,null,null,,,,,,,,,,,
null,0.100098144,10/8/1936,null,null,,,,,,,,,,,
null,0.056717253,2/20/1937,null,null,,,,,,,,,,,
281.3714146,null,6/2/1937,null,null,,,,,,,,,,,
281.3635255,null,8/9/1937,null,null,,,,,,,,,,,
281.3544202,null,10/14/1937,null,null,,,,,,,,,,,
null,0.027136383,12/10/1937,null,null,,,,,,,,,,,
281.3335799,null,2/7/1938,null,null,,,,,,,,,,,
null,0.021218566,4/2/1938,null,null,,,,,,,,,,,
281.2824488,null,8/5/1938,null,null,,,,,,,,,,,
null,0.015300748,8/15/1938,null,null,,,,,,,,,,,
281.2555602,null,9/11/1938,null,null,,,,,,,,,,,
281.2407188,null,11/1/1938,null,null,,,,,,,,,,,
281.2158847,null,11/28/1938,null,null,,,,,,,,,,,
281.193976,null,1/11/1939,null,null,,,,,,,,,,,
null,-0.004417092,3/6/1939,null,null,,,,,,,,,,,
281.1345614,null,3/12/1939,null,null,,,,,,,,,,,
281.10787,null,4/10/1939,null,null,,,,,,,,,,,
281.103909,null,7/14/1939,null,null,,,,,,,,,,,
null,-0.018217114,8/10/1939,null,null,,,,,,,,,,,
281.0998988,null,9/14/1939,null,null,,,,,,,,,,,
null,-0.024134932,11/8/1939,null,null,,,,,,,,,,,
281.0903826,null,11/15/1939,null,null,,,,,,,,,,,
null,-0.028080143,2/29/1940,null,null,,,,,,,,,,,
null,-0.037943173,2/29/1940,null,null,,,,,,,,,,,
281.0302941,null,6/30/1940,null,null,,,,,,,,,,,
null,-0.077378852,8/27/1940,null,null,,,,,,,,,,,
280.9999047,null,9/10/1940,null,null,,,,,,,,,,,
null,-0.077378852,10/11/1940,null,null,,,,,,,,,,,
280.9849976,null,11/19/1940,null,null,,,,,,,,,,,
280.9388629,null,2/18/1941,null,null,,,,,,,,,,,
280.9165434,null,4/4/1941,null,null,,,,,,,,,,,
280.8980534,null,5/31/1941,null,null,,,,,,,,,,,
280.883212,null,8/5/1941,null,null,,,,,,,,,,,
null,-0.136409084,9/21/1941,null,null,,,,,,,,,,,
280.8667271,null,10/4/1941,null,null,,,,,,,,,,,
280.8496177,null,12/25/1941,null,null,,,,,,,,,,,
280.8423203,null,1/4/1942,null,null,,,,,,,,,,,
280.8012149,null,10/6/1942,null,null,,,,,,,,,,,
null,-0.162176249,11/17/1942,null,null,,,,,,,,,,,
null,-0.166113241,12/9/1942,null,null,,,,,,,,,,,
280.7781558,null,3/9/1943,null,null,,,,,,,,,,,
280.7728307,null,4/14/1943,null,null,,,,,,,,,,,
280.7607341,null,4/28/1943,null,null,,,,,,,,,,,
null,-0.241047608,8/14/1943,null,null,,,,,,,,,,,
280.7523684,null,9/1/1943,null,null,,,,,,,,,,,
null,-0.248929812,9/28/1943,null,null,,,,,,,,,,,
280.7355055,null,1/3/1944,null,null,,,,,,,,,,,
280.7287176,null,3/23/1944,null,null,,,,,,,,,,,
null,-0.250902418,4/18/1944,null,null,,,,,,,,,,,
280.7150925,null,5/30/1944,null,null,,,,,,,,,,,
null,-0.2449846,6/2/1944,null,null,,,,,,,,,,,
null,-0.233148965,8/9/1944,null,null,,,,,,,,,,,
null,-0.215403731,9/23/1944,null,null,,,,,,,,,,,
280.6894365,null,10/22/1944,null,null,,,,,,,,,,,
null,-0.217376337,11/7/1944,null,null,,,,,,,,,,,
null,-0.215403731,11/7/1944,null,null,,,,,,,,,,,
null,-0.177940657,11/29/1944,null,null,,,,,,,,,,,
null,-0.160187204,1/13/1945,null,null,,,,,,,,,,,
280.673494,null,2/2/1945,null,null,,,,,,,,,,,
280.6824021,null,4/8/1945,null,null,,,,,,,,,,,
280.7055598,null,7/18/1945,null,null,,,,,,,,,,,
280.7335003,null,10/19/1945,null,null,,,,,,,,,,,
null,-0.03004453,11/25/1945,null,null,,,,,,,,,,,
null,-0.03004453,2/1/1946,null,null,,,,,,,,,,,
null,0.003481551,3/18/1946,null,null,,,,,,,,,,,
null,0.086306341,5/2/1946,null,null,,,,,,,,,,,
null,0.054752866,6/16/1946,null,null,,,,,,,,,,,
null,0.111941999,10/29/1946,null,null,,,,,,,,,,,
280.8298621,null,11/18/1946,null,null,,,,,,,,,,,
280.8583121,null,2/28/1947,null,null,,,,,,,,,,,
null,0.177013336,4/5/1947,null,null,,,,,,,,,,,
null,0.180958547,4/5/1947,null,null,,,,,,,,,,,
280.8748463,null,5/11/1947,null,null,,,,,,,,,,,
280.8928104,null,7/2/1947,null,null,,,,,,,,,,,
280.9023595,null,8/29/1947,null,null,,,,,,,,,,,
280.9390108,null,12/21/1947,null,null,,,,,,,,,,,
null,0.188840752,1/23/1948,null,null,,,,,,,,,,,
280.9573694,null,3/8/1948,null,null,,,,,,,,,,,
