 SUMMARY04.MONTHLY.MASS.DAT
 DOI: 10.3334/CDIAC/ffe.MonthlyMass.2015
  All values should be zero or positive.
  Mass units are 10^6 metric tonnes C (Tg C).                                    
 year  mingrid  maxgrid  gridsum
 1950   0.0      2.4     125.46
 1951   0.0      2.5     134.41
 1952   0.0      2.4     137.65
 1953   0.0      2.5     142.64
 1954   0.0      2.4     147.47
 1955   0.0      2.6     159.16
 1956   0.0      2.7     165.05
 1957   0.0      2.7     171.30
 1958   0.0      2.6     180.37
 1959   0.0      2.7     190.34
 1960   0.0      2.7     200.30
 1961   0.0      2.7     199.30
 1962   0.0      2.9     207.29
 1963   0.0      3.0     218.59
 1964   0.0      3.1     229.35
 1965   0.0      3.2     239.88
 1966   0.0      3.4     251.63
 1967   0.0      3.5     260.72
 1968   0.0      3.6     272.69
 1969   0.0      3.9     292.63
 1970   0.0      4.1     317.30
 1971   0.0      4.1     329.95
 1972   0.0      4.3     345.86
 1973   0.0      4.6     362.28
 1974   0.0      4.4     359.52
 1975   0.0      4.2     360.22
 1976   0.0      4.4     380.33
 1977   0.0      4.6     396.98
 1978   0.0      4.7     410.15
 1979   0.0      4.7     421.46
 1980   0.0      4.5     419.70
 1981   0.0      4.3     407.76
 1982   0.0      4.1     409.90
 1983   0.0      4.1     408.09
 1984   0.0      4.3     422.06
 1985   0.0      4.3     438.47
 1986   0.0      4.2     445.90
 1987   0.0      4.5     457.12
 1988   0.0      4.6     474.04
 1989   0.0      4.7     482.21
 1990   0.0      4.7     476.86
 1991   0.0     10.3     495.03
 1992   0.0      4.8     481.49
 1993   0.0      4.8     484.46
 1994   0.0      4.8     484.91
 1995   0.0      4.8     488.71
 1996   0.0      5.0     506.78
 1997   0.0      5.1     509.08
 1998   0.0      5.1     502.66
 1999   0.0      5.3     512.11
 2000   0.0      5.3     518.11
 2001   0.0      5.3     531.78
 2002   0.0      5.4     535.21
 2003   0.0      5.3     562.52
 2004   0.0      5.4     593.94
 2005   0.0      5.4     613.41
 2006   0.0      5.3     628.84
 2007   0.0      5.4     651.05
 2008   0.0      5.4     664.61
 2009   0.0      5.0     659.41
 2010   0.0      5.0     689.95
 2011   0.0      5.0     714.30
