 SUMMARY09.MONTHLY.MASS.DAT
 DOI: 10.3334/CDIAC/ffe.MonthlyMass.2015
  All values should be zero or positive.
  Mass units are 10^6 metric tonnes C (Tg C).                                    
 year  mingrid  maxgrid  gridsum
 1950   0.0      2.4     126.22
 1951   0.0      2.5     135.30
 1952   0.0      2.4     139.16
 1953   0.0      2.5     138.74
 1954   0.0      2.4     145.80
 1955   0.0      2.6     158.75
 1956   0.0      2.6     166.50
 1957   0.0      2.8     174.65
 1958   0.0      2.5     178.34
 1959   0.0      2.6     187.44
 1960   0.0      2.8     198.37
 1961   0.0      2.8     198.98
 1962   0.0      2.8     203.82
 1963   0.0      2.9     217.51
 1964   0.0      3.1     231.00
 1965   0.0      3.3     239.54
 1966   0.0      3.3     249.25
 1967   0.0      3.5     258.89
 1968   0.0      3.7     273.27
 1969   0.0      3.7     290.35
 1970   0.0      4.1     314.90
 1971   0.0      4.0     322.01
 1972   0.0      4.3     341.32
 1973   0.0      4.4     355.45
 1974   0.0      4.3     355.27
 1975   0.0      4.2     359.43
 1976   0.0      4.3     376.69
 1977   0.0      4.3     385.04
 1978   0.0      4.5     401.31
 1979   0.0      4.7     416.15
 1980   0.0      4.5     413.55
 1981   0.0      4.3     402.78
 1982   0.0      4.0     398.50
 1983   0.0      4.2     410.62
 1984   0.0      4.1     415.25
 1985   0.0      4.2     431.06
 1986   0.0      4.2     438.13
 1987   0.0      4.4     455.56
 1988   0.0      4.5     469.51
 1989   0.0      4.7     479.06
 1990   0.0      4.7     470.94
 1991   0.0      4.5     475.44
 1992   0.0      4.7     472.81
 1993   0.0      4.7     476.92
 1994   0.0      4.8     480.20
 1995   0.0      4.9     489.37
 1996   0.0      4.9     499.76
 1997   0.0      5.2     508.28
 1998   0.0      5.3     501.57
 1999   0.0      5.3     507.16
 2000   0.0      5.4     526.01
 2001   0.0      5.3     523.04
 2002   0.0      5.4     535.90
 2003   0.0      5.4     564.61
 2004   0.0      5.5     595.27
 2005   0.0      5.5     609.57
 2006   0.0      5.4     637.12
 2007   0.0      5.6     649.01
 2008   0.0      5.1     659.75
 2009   0.0      4.9     655.31
 2010   0.0      5.1     687.80
 2011   0.0      5.1     718.42
