 SUMMARY08.MONTHLY.MASS.DAT
 DOI: 10.3334/CDIAC/ffe.MonthlyMass.2015
  All values should be zero or positive.
  Mass units are 10^6 metric tonnes C (Tg C).                                    
 year  mingrid  maxgrid  gridsum
 1950   0.0      2.7     128.72
 1951   0.0      2.7     136.51
 1952   0.0      2.7     142.05
 1953   0.0      2.6     142.01
 1954   0.0      2.5     145.51
 1955   0.0      2.8     162.71
 1956   0.0      2.9     168.07
 1957   0.0      3.0     179.22
 1958   0.0      2.7     181.73
 1959   0.0      2.8     192.47
 1960   0.0      3.0     202.01
 1961   0.0      2.9     202.00
 1962   0.0      3.0     209.73
 1963   0.0      3.1     218.44
 1964   0.0      3.3     230.17
 1965   0.0      3.5     244.82
 1966   0.0      3.7     257.02
 1967   0.0      3.7     263.08
 1968   0.0      3.9     274.58
 1969   0.0      4.0     295.45
 1970   0.0      4.4     321.72
 1971   0.0      4.3     331.43
 1972   0.0      4.7     350.90
 1973   0.0      4.7     364.16
 1974   0.0      4.8     370.08
 1975   0.0      4.6     371.07
 1976   0.0      4.8     387.23
 1977   0.0      4.8     396.50
 1978   0.0      4.8     409.91
 1979   0.0      4.9     423.56
 1980   0.0      4.8     419.13
 1981   0.0      4.7     410.62
 1982   0.0      4.3     405.91
 1983   0.0      4.7     421.77
 1984   0.0      4.6     430.47
 1985   0.0      4.5     438.45
 1986   0.0      4.5     446.48
 1987   0.0      4.8     466.03
 1988   0.0      5.1     489.82
 1989   0.0      5.0     491.78
 1990   0.0      5.1     489.37
 1991   0.0      5.4     490.45
 1992   0.0      4.9     474.41
 1993   0.0      5.2     488.66
 1994   0.0      5.2     493.73
 1995   0.0      5.5     505.03
 1996   0.0      5.3     510.35
 1997   0.0      5.4     517.66
 1998   0.0      5.7     510.33
 1999   0.0      5.7     520.20
 2000   0.0      6.0     539.87
 2001   0.0      6.0     544.75
 2002   0.0      5.9     550.35
 2003   0.0      5.9     578.20
 2004   0.0      5.9     602.03
 2005   0.0      6.2     625.58
 2006   0.0      6.1     653.52
 2007   0.0      6.2     669.59
 2008   0.0      5.6     668.06
 2009   0.0      5.4     670.50
 2010   0.0      5.8     713.63
 2011   0.0      5.5     729.66
