 SUMMARY02.MONTHLY.MASS.DAT
 DOI: 10.3334/CDIAC/ffe.MonthlyMass.2015
  All values should be zero or positive.
  Mass units are 10^6 metric tonnes C (Tg C).                                    
 year  mingrid  maxgrid  gridsum
 1950   0.0      2.6     132.88
 1951   0.0      2.8     146.57
 1952   0.0      2.7     142.63
 1953   0.0      2.7     151.30
 1954   0.0      2.5     148.24
 1955   0.0      2.7     160.66
 1956   0.0      3.0     177.97
 1957   0.0      2.8     175.74
 1958   0.0      3.0     185.78
 1959   0.0      3.1     196.48
 1960   0.0      2.9     202.58
 1961   0.0      2.9     203.64
 1962   0.0      3.1     212.89
 1963   0.0      3.3     227.21
 1964   0.0      3.5     237.64
 1965   0.0      3.4     247.75
 1966   0.0      3.7     259.84
 1967   0.0      3.9     266.49
 1968   0.0      4.0     283.37
 1969   0.0      4.3     301.46
 1970   0.0      4.4     322.49
 1971   0.0      4.8     346.98
 1972   0.0      4.7     353.47
 1973   0.0      5.1     374.67
 1974   0.0      4.7     373.12
 1975   0.0      4.5     369.57
 1976   0.0      4.8     389.17
 1977   0.0      4.9     403.53
 1978   0.0      5.2     425.82
 1979   0.0      5.0     427.87
 1980   0.0      4.9     426.98
 1981   0.0      4.5     415.65
 1982   0.0      4.6     416.69
 1983   0.0      4.3     412.01
 1984   0.0      4.6     435.12
 1985   0.0      4.9     453.27
 1986   0.0      4.7     456.14
 1987   0.0      4.7     463.69
 1988   0.0      5.3     488.03
 1989   0.0      5.2     492.34
 1990   0.0      4.8     474.12
 1991   0.0      7.2     501.00
 1992   0.0      5.0     487.75
 1993   0.0      5.2     493.97
 1994   0.0      5.4     501.95
 1995   0.0      5.2     497.00
 1996   0.0      5.5     529.10
 1997   0.0      5.4     511.98
 1998   0.0      5.3     504.99
 1999   0.0      5.4     518.24
 2000   0.0      6.0     544.63
 2001   0.0      5.7     544.24
 2002   0.0      5.5     539.55
 2003   0.0      5.9     582.77
 2004   0.0      6.1     619.03
 2005   0.0      5.8     619.39
 2006   0.0      5.8     639.65
 2007   0.0      6.2     656.78
 2008   0.0      5.9     673.48
 2009   0.0      5.6     661.56
 2010   0.0      5.6     687.61
 2011   0.0      5.3     705.27
