 SUMMARY11.MONTHLY.MASS.DAT
 DOI: 10.3334/CDIAC/ffe.MonthlyMass.2015
  All values should be zero or positive.
  Mass units are 10^6 metric tonnes C (Tg C).                                    
 year  mingrid  maxgrid  gridsum
 1950   0.0      2.5     131.40
 1951   0.0      2.6     140.85
 1952   0.0      2.5     143.89
 1953   0.0      2.5     146.72
 1954   0.0      2.5     152.96
 1955   0.0      2.7     169.75
 1956   0.0      2.8     180.14
 1957   0.0      2.7     183.17
 1958   0.0      2.7     188.56
 1959   0.0      2.8     198.43
 1960   0.0      2.9     210.63
 1961   0.0      2.9     208.64
 1962   0.0      2.9     216.36
 1963   0.0      3.1     227.58
 1964   0.0      3.2     239.42
 1965   0.0      3.4     251.97
 1966   0.0      3.6     264.90
 1967   0.0      3.7     270.36
 1968   0.0      3.8     285.54
 1969   0.0      4.0     304.03
 1970   0.0      4.3     333.71
 1971   0.0      4.3     343.09
 1972   0.0      4.6     359.48
 1973   0.0      4.7     380.64
 1974   0.0      4.6     378.74
 1975   0.0      4.4     378.43
 1976   0.0      4.7     404.66
 1977   0.0      4.7     412.87
 1978   0.0      4.8     426.03
 1979   0.0      5.0     441.68
 1980   0.0      4.7     441.03
 1981   0.0      4.4     426.48
 1982   0.0      4.3     425.06
 1983   0.0      4.3     429.60
 1984   0.0      4.5     441.17
 1985   0.0      4.4     457.00
 1986   0.0      4.4     459.91
 1987   0.0      4.5     479.77
 1988   0.0      4.8     503.68
 1989   0.0      5.0     509.92
 1990   0.0      4.8     498.63
 1991   0.0      4.9     504.29
 1992   0.0      4.9     506.37
 1993   0.0      5.1     511.89
 1994   0.0      5.0     506.66
 1995   0.0      5.2     527.27
 1996   0.0      5.4     538.09
 1997   0.0      5.4     540.53
 1998   0.0      5.2     528.84
 1999   0.0      5.4     539.68
 2000   0.0      5.7     556.12
 2001   0.0      5.4     553.19
 2002   0.0      5.6     572.06
 2003   0.0      5.6     602.59
 2004   0.0      5.6     629.89
 2005   0.0      5.6     646.35
 2006   0.0      5.6     673.48
 2007   0.0      5.6     692.74
 2008   0.0      5.5     693.88
 2009   0.0      5.2     705.08
 2010   0.0      5.3     743.79
 2011   0.0      5.1     760.67
