 SUMMARY01.MONTHLY.MASS.DAT
 DOI: 10.3334/CDIAC/ffe.MonthlyMass.2015
  All values should be zero or positive.
  Mass units are 10^6 metric tonnes C (Tg C).                                    
 year  mingrid  maxgrid  gridsum
 1950   0.0      2.9     142.54
 1951   0.0      3.1     159.34
 1952   0.0      2.8     151.59
 1953   0.0      3.0     161.50
 1954   0.0      2.8     162.74
 1955   0.0      3.0     174.89
 1956   0.0      3.4     198.91
 1957   0.0      3.1     192.32
 1958   0.0      3.3     203.99
 1959   0.0      3.4     215.41
 1960   0.0      3.2     219.07
 1961   0.0      3.2     219.82
 1962   0.0      3.5     230.74
 1963   0.0      3.7     249.93
 1964   0.0      3.8     262.16
 1965   0.0      3.8     267.96
 1966   0.0      3.9     275.70
 1967   0.0      4.3     288.32
 1968   0.0      4.5     306.65
 1969   0.0      4.7     324.51
 1970   0.0      4.8     346.60
 1971   0.0      5.1     367.47
 1972   0.0      5.0     374.91
 1973   0.0      5.3     399.24
 1974   0.0      5.3     401.91
 1975   0.0      4.8     395.41
 1976   0.0      5.2     422.69
 1977   0.0      5.7     440.05
 1978   0.0      5.9     455.99
 1979   0.0      5.5     459.83
 1980   0.0      5.3     461.86
 1981   0.0      5.1     449.30
 1982   0.0      4.9     450.01
 1983   0.0      4.8     448.04
 1984   0.0      5.4     469.11
 1985   0.0      5.2     489.21
 1986   0.0      5.3     490.02
 1987   0.0      5.3     504.25
 1988   0.0      5.6     519.50
 1989   0.0      5.4     521.80
 1990   0.0      5.4     521.71
 1991   0.0      5.7     532.69
 1992   0.0      5.6     531.24
 1993   0.0      5.5     522.73
 1994   0.0      6.0     531.25
 1995   0.0      5.7     539.98
 1996   0.0      6.0     557.82
 1997   0.0      6.1     559.00
 1998   0.0      6.0     553.73
 1999   0.0      6.2     556.57
 2000   0.0      6.3     577.87
 2001   0.0      6.5     586.40
 2002   0.0      6.2     593.19
 2003   0.0      6.6     628.99
 2004   0.0      6.6     651.81
 2005   0.0      6.5     680.09
 2006   0.0      6.1     681.96
 2007   0.0      6.4     709.37
 2008   0.0      6.5     738.76
 2009   0.0      6.3     727.51
 2010   0.0      5.8     743.11
 2011   0.0      6.0     782.80
