 SUMMARY05.MONTHLY.MASS.DAT
 DOI: 10.3334/CDIAC/ffe.MonthlyMass.2015
  All values should be zero or positive.
  Mass units are 10^6 metric tonnes C (Tg C).                                    
 year  mingrid  maxgrid  gridsum
 1950   0.0      2.4     124.80
 1951   0.0      2.4     132.22
 1952   0.0      2.4     137.26
 1953   0.0      2.5     137.98
 1954   0.0      2.4     143.21
 1955   0.0      2.6     157.53
 1956   0.0      2.7     165.54
 1957   0.0      2.7     174.55
 1958   0.0      2.6     179.10
 1959   0.0      2.7     187.96
 1960   0.0      2.7     196.00
 1961   0.0      2.7     196.94
 1962   0.0      2.8     202.85
 1963   0.0      2.9     213.16
 1964   0.0      3.0     221.98
 1965   0.0      3.2     237.48
 1966   0.0      3.3     247.88
 1967   0.0      3.4     255.42
 1968   0.0      3.6     268.86
 1969   0.0      3.8     288.06
 1970   0.0      4.1     311.61
 1971   0.0      4.1     323.92
 1972   0.0      4.4     345.84
 1973   0.0      4.5     359.24
 1974   0.0      4.4     357.48
 1975   0.0      4.3     362.03
 1976   0.0      4.4     375.35
 1977   0.0      4.6     392.97
 1978   0.0      4.6     401.75
 1979   0.0      4.5     413.99
 1980   0.0      4.4     408.43
 1981   0.0      4.3     400.46
 1982   0.0      4.0     396.41
 1983   0.0      4.0     401.31
 1984   0.0      4.2     418.47
 1985   0.0      4.2     430.85
 1986   0.0      4.3     437.70
 1987   0.0      4.4     451.57
 1988   0.0      4.5     467.66
 1989   0.0      4.7     476.03
 1990   0.0      4.6     469.97
 1991   0.0      9.7     493.29
 1992   0.0      4.6     470.82
 1993   0.0      4.5     470.11
 1994   0.0      4.7     479.89
 1995   0.0      4.8     489.86
 1996   0.0      5.0     506.01
 1997   0.0      5.1     505.92
 1998   0.0      5.2     498.04
 1999   0.0      5.2     507.89
 2000   0.0      5.5     524.27
 2001   0.0      5.4     535.68
 2002   0.0      5.4     533.97
 2003   0.0      5.3     558.89
 2004   0.0      5.5     591.93
 2005   0.0      5.5     606.23
 2006   0.0      5.4     629.75
 2007   0.0      5.5     649.59
 2008   0.0      5.4     663.95
 2009   0.0      4.9     659.17
 2010   0.0      5.2     690.93
 2011   0.0      5.0     711.59
