 SUMMARY06.MONTHLY.MASS.DAT
 DOI: 10.3334/CDIAC/ffe.MonthlyMass.2015
  All values should be zero or positive.
  Mass units are 10^6 metric tonnes C (Tg C).                                    
 year  mingrid  maxgrid  gridsum
 1950   0.0      2.6     128.23
 1951   0.0      2.4     130.27
 1952   0.0      2.5     136.73
 1953   0.0      2.5     139.00
 1954   0.0      2.4     143.64
 1955   0.0      2.6     157.54
 1956   0.0      2.6     161.20
 1957   0.0      2.8     173.33
 1958   0.0      2.5     174.35
 1959   0.0      2.6     183.85
 1960   0.0      2.8     197.63
 1961   0.0      2.7     196.49
 1962   0.0      2.8     204.23
 1963   0.0      3.0     214.20
 1964   0.0      3.1     226.08
 1965   0.0      3.3     238.24
 1966   0.0      3.4     249.40
 1967   0.0      3.5     256.12
 1968   0.0      3.6     271.01
 1969   0.0      3.8     289.99
 1970   0.0      4.2     314.51
 1971   0.0      4.1     323.12
 1972   0.0      4.4     343.80
 1973   0.0      4.5     353.42
 1974   0.0      4.4     357.37
 1975   0.0      4.3     359.83
 1976   0.0      4.3     377.21
 1977   0.0      4.5     387.92
 1978   0.0      4.4     399.60
 1979   0.0      4.7     414.65
 1980   0.0      4.5     412.71
 1981   0.0      4.4     404.80
 1982   0.0      4.0     400.88
 1983   0.0      4.1     404.98
 1984   0.0      4.3     418.68
 1985   0.0      4.1     428.18
 1986   0.0      4.3     437.33
 1987   0.0      4.6     458.83
 1988   0.0      4.7     474.03
 1989   0.0      4.7     480.11
 1990   0.0      4.7     472.84
 1991   0.0      7.8     485.83
 1992   0.0      4.6     471.07
 1993   0.0      4.8     478.99
 1994   0.0      5.0     481.74
 1995   0.0      4.9     488.61
 1996   0.0      5.0     496.33
 1997   0.0      5.1     498.36
 1998   0.0      5.3     501.37
 1999   0.0      5.3     507.23
 2000   0.0      5.6     519.82
 2001   0.0      5.4     525.27
 2002   0.0      5.5     533.49
 2003   0.0      5.3     558.06
 2004   0.0      5.6     588.46
 2005   0.0      5.7     610.55
 2006   0.0      5.6     634.35
 2007   0.0      5.6     650.63
 2008   0.0      5.4     655.30
 2009   0.0      4.8     647.83
 2010   0.0      5.3     690.72
 2011   0.0      5.1     709.25
