localdata,globaldata,date,x,y,localylabel,globalylabel,annotation,title,intro,imgsrc,datasrc,fastfacts,moreinfo,moreinfosrc
134.46727,134.46727,6/2/78,null,null,,,,,,,,,,
135.8061581,135.8061581,7/2/78,null,null,,,,,,,,,,
137.7120146,137.7120146,8/1/78,null,null,,,,,,,,,,
139.8726237,139.8726237,9/1/78,null,null,,,,,,,,,,
135.54949,135.54949,10/1/78,null,null,,,,,,,,,,
138.5873677,138.5873677,11/1/78,null,null,,,,,,,,,,
137.9686827,137.9686827,12/1/78,null,null,,,,,,,,,,
138.2253508,138.2253508,12/31/78,null,null,,,,,,,,,,
138.9455538,138.9455538,1/31/79,null,null,,,,,,,,,,
139.3075708,139.3075708,3/2/79,null,null,,,,,,,,,,
141.1080783,141.1080783,4/2/79,null,null,,,,,,,,,,
141.7267634,141.7267634,5/2/79,null,null,,,,,,,,,,
143.8375712,143.8375712,6/2/79,null,null,,,,,,,,,,
146.7202988,146.7202988,7/2/79,null,null,,,,,,,,,,
145.3814107,145.3814107,8/2/79,null,null,,,,,,,,,,
148.6759565,148.6759565,9/1/79,null,null,,,,,,,,,,
142.343533,142.343533,10/1/79,null,null,,,,,,,,,,
141.8282814,141.8282814,11/1/79,null,null,,,,,,,,,,
139.4090887,139.4090887,12/1/79,null,null,,,,,,,,,,
140.9548437,140.9548437,1/1/80,null,null,,,,,,,,,,
139.8228224,139.8228224,1/31/80,null,null,,,,,,,,,,
137.4017143,137.4017143,3/1/80,null,null,,,,,,,,,,
139.5642389,139.5642389,4/1/80,null,null,,,,,,,,,,
138.1238328,138.1238328,5/1/80,null,null,,,,,,,,,,
139.1524206,139.1524206,6/1/80,null,null,,,,,,,,,,
141.0582771,141.0582771,7/1/80,null,null,,,,,,,,,,
142.9105014,142.9105014,8/1/80,null,null,,,,,,,,,,
142.3952497,142.3952497,8/31/80,null,null,,,,,,,,,,
140.9031269,140.9031269,9/30/80,null,null,,,,,,,,,,
143.0656515,143.0656515,10/31/80,null,null,,,,,,,,,,
146.1552459,146.1552459,11/30/80,null,null,,,,,,,,,,
147.2355504,147.2355504,12/31/80,null,null,,,,,,,,,,
155.5753484,155.5753484,1/30/81,null,null,,,,,,,,,,
153.5660585,153.5660585,3/2/81,null,null,,,,,,,,,,
153.4128238,153.4128238,4/1/81,null,null,,,,,,,,,,
151.5088828,151.5088828,5/1/81,null,null,,,,,,,,,,
147.7488867,147.7488867,6/1/81,null,null,,,,,,,,,,
149.8079778,149.8079778,8/1/81,null,null,,,,,,,,,,
151.5605995,151.5605995,8/31/81,null,null,,,,,,,,,,
151.6621175,151.6621175,10/1/81,null,null,,,,,,,,,,
153.0527223,153.0527223,10/31/81,null,null,,,,,,,,,,
155.471915,155.471915,11/30/81,null,null,,,,,,,,,,
149.3961596,149.3961596,12/31/81,null,null,,,,,,,,,,
146.4099986,146.4099986,1/30/82,null,null,,,,,,,,,,
107.0804003,107.0804003,3/2/82,null,null,,,,,,,,,,
146.2567639,146.2567639,4/1/82,null,null,,,,,,,,,,
118.5097927,118.5097927,5/2/82,null,null,,,,,,,,,,
143.4238376,143.4238376,6/1/82,null,null,,,,,,,,,,
141.159795,141.159795,7/1/82,null,null,,,,,,,,,,
141.0582771,141.0582771,8/1/82,null,null,,,,,,,,,,
144.9695925,144.9695925,8/31/82,null,null,,,,,,,,,,
138.8957525,138.8957525,10/1/82,null,null,,,,,,,,,,
137.0933295,137.0933295,10/31/82,null,null,,,,,,,,,,
135.54949,135.54949,12/1/82,null,null,,,,,,,,,,
137.1450462,137.1450462,12/31/82,null,null,,,,,,,,,,
136.8366614,136.8366614,1/30/83,null,null,,,,,,,,,,
135.8578748,135.8578748,3/2/83,null,null,,,,,,,,,,
134.4174688,134.4174688,4/1/83,null,null,,,,,,,,,,
134.8790883,134.8790883,5/2/83,null,null,,,,,,,,,,
134.2623186,134.2623186,6/1/83,null,null,,,,,,,,,,
134.6224202,134.6224202,7/2/83,null,null,,,,,,,,,,
135.54949,135.54949,8/1/83,null,null,,,,,,,,,,
135.2928219,135.2928219,8/31/83,null,null,,,,,,,,,,
135.7544414,135.7544414,10/1/83,null,null,,,,,,,,,,
135.8578748,135.8578748,12/1/83,null,null,,,,,,,,,,
133.9022171,133.9022171,12/31/83,null,null,,,,,,,,,,
131.7914093,131.7914093,1/31/84,null,null,,,,,,,,,,
135.2411052,135.2411052,3/1/84,null,null,,,,,,,,,,
132.8717138,132.8717138,3/31/84,null,null,,,,,,,,,,
134.7258536,134.7258536,5/1/84,null,null,,,,,,,,,,
134.2623186,134.2623186,5/31/84,null,null,,,,,,,,,,
135.651008,135.651008,7/1/84,null,null,,,,,,,,,,
null,null,7/23/84,720,0,,,,,,,,,,
133.9539338,133.9539338,7/31/84,null,null,,,,,,,,,,
