"date","insitu","mining","file","x","y"
"1982-05-02",10.50160944,49.70493562,NA,NA,NA
"1982-06-01",9.426732066,48.9845187,NA,NA,NA
"1982-07-01",9.836756591,41.10783262,NA,NA,NA
"1982-08-31",12.82572042,63.14952483,NA,NA,NA
"1982-10-01",10.30617719,55.52575107,NA,NA,NA
"1982-10-31",12.77590435,53.15948804,NA,NA,NA
"1982-12-01",12.10530349,51.563458,NA,NA,NA
"1982-12-31",14.2205702,53.15948804,NA,NA,NA
"1983-01-30",14.11327406,52.85484365,NA,NA,NA
"1983-03-02",16.62898529,51.67075414,NA,NA,NA
"1983-04-01",19.36503679,49.71451563,NA,NA,NA
"1983-05-02",14.88350705,50.79514102,NA,NA,NA
"1983-06-01",12.15320356,50.33146842,NA,NA,NA
"1983-07-02",11.02084611,50.85262109,NA,NA,NA
"1983-08-01",11.78916309,51.77230227,NA,NA,NA
"1983-08-31",12.86404047,51.46765788,NA,NA,NA
"1983-10-01",11.98842735,52.0328786,NA,NA,NA
"1983-12-01",13.07480074,52.23597486,NA,NA,NA
"1983-12-31",15.74954016,49.55931944,NA,NA,NA
"1984-01-31",15.3893317,47.35016861,NA,NA,NA
"1984-03-01",16.83208155,51.26456162,NA,NA,NA
"1984-03-31",13.58637339,48.94428265,NA,NA,NA
"1984-05-01",15.18431944,50.85262109,NA,NA,NA
"1984-05-31",14.62101471,50.43684856,NA,NA,NA
"1984-07-01",12.91768853,52.14017474,NA,NA,NA
"1984-07-23",NA,NA,"athabasca_tm5_19840723",-720,0
"1984-07-31",12.14937155,50.49624464,NA,NA,NA
"1984-08-30",12.50958001,47.09917229,NA,NA,NA
"1984-09-30",12.14937155,51.0135653,NA,NA,NA
"1984-10-30",10.35216125,51.88917842,NA,NA,NA
"1984-11-30",11.22585837,53.48329246,NA,NA,NA
"1984-12-30",15.03103924,51.11702943,NA,NA,NA
"1985-01-30",18.74425199,50.59779277,NA,NA,NA
"1985-03-01",18.74425199,58.68907112,NA,NA,NA
"1985-03-31",21.48030349,59.4535561,NA,NA,NA
"1985-05-01",16.69029736,58.68907112,NA,NA,NA
"1985-05-31",21.1679951,59.25620785,NA,NA,NA
"1985-07-01",17.56207848,57.39768547,NA,NA,NA
"1985-07-31",17.40879828,56.00475169,NA,NA,NA
"1985-08-31",14.63059473,55.69435929,NA,NA,NA
"1985-09-28",NA,NA,"athabasca_tm5_19850928",0,-480
"1985-09-30",18.49517167,55.17703863,NA,NA,NA
"1985-10-30",13.18592888,54.19604537,NA,NA,NA
"1985-11-30",11.07257817,53.62890865,NA,NA,NA
"1985-12-30",11.4845187,55.64262722,NA,NA,NA
"1985-12-30",11.4845187,55.61963519,NA,NA,NA
"1985-12-30",11.4806867,55.64262722,NA,NA,NA
"1985-12-30",11.4806867,55.61963519,NA,NA,NA
"1986-01-30",13.22999693,53.75919681,NA,NA,NA
"1986-03-01",14.46581852,44.18301655,NA,NA,NA
"1986-04-01",18.84580012,45.16592581,NA,NA,NA
"1986-05-01",16.88956162,45.05862968,NA,NA,NA
"1986-06-01",15.14025138,44.29031269,NA,NA,NA
"1986-07-02",13.69750153,43.8285561,NA,NA,NA
"1986-08-01",12.86787247,43.5181637,NA,NA,NA
"1986-08-14",NA,NA,"athabasca_tm5_19860814",-720,-480
"1986-09-01",12.40803188,42.84756284,NA,NA,NA
"1986-10-01",13.7473176,42.79966278,NA,NA,NA
