 SUMMARY12.MONTHLY.MASS.DAT
 DOI: 10.3334/CDIAC/ffe.MonthlyMass.2015
  All values should be zero or positive.
  Mass units are 10^6 metric tonnes C (Tg C).                                    
 year  mingrid  maxgrid  gridsum
 1950   0.0      2.7     142.17
 1951   0.0      2.9     157.94
 1952   0.0      2.7     157.48
 1953   0.0      2.9     161.65
 1954   0.0      2.8     165.70
 1955   0.0      3.1     182.25
 1956   0.0      3.2     195.15
 1957   0.0      3.1     200.18
 1958   0.0      3.1     207.23
 1959   0.0      3.2     213.31
 1960   0.0      3.2     231.40
 1961   0.0      3.3     231.21
 1962   0.0      3.4     237.60
 1963   0.0      3.5     248.56
 1964   0.0      3.7     262.48
 1965   0.0      3.8     267.85
 1966   0.0      4.1     284.08
 1967   0.0      4.1     292.35
 1968   0.0      4.3     308.85
 1969   0.0      4.4     328.33
 1970   0.0      4.8     358.80
 1971   0.0      5.0     374.60
 1972   0.0      5.3     392.48
 1973   0.0      5.6     416.18
 1974   0.0      5.0     405.52
 1975   0.0      5.1     411.33
 1976   0.0      5.1     436.56
 1977   0.0      5.2     444.06
 1978   0.0      5.5     466.58
 1979   0.0      5.5     478.23
 1980   0.0      5.5     482.43
 1981   0.0      5.0     463.09
 1982   0.0      5.0     460.86
 1983   0.0      5.1     474.74
 1984   0.0      4.8     469.03
 1985   0.0      5.2     499.39
 1986   0.0      5.0     506.48
 1987   0.0      5.3     526.08
 1988   0.0      5.5     548.24
 1989   0.0      5.9     565.23
 1990   0.0      5.3     540.35
 1991   0.0      5.3     547.60
 1992   0.0      5.6     549.34
 1993   0.0      5.7     558.02
 1994   0.0      5.5     552.74
 1995   0.0      5.9     575.81
 1996   0.0      5.8     581.12
 1997   0.0      6.1     583.90
 1998   0.0      5.9     575.38
 1999   0.0      6.1     581.23
 2000   0.0      6.6     602.98
 2001   0.0      5.9     591.63
 2002   0.0      6.2     617.99
 2003   0.0      6.3     655.71
 2004   0.0      6.5     690.39
 2005   0.0      6.5     710.58
 2006   0.0      6.1     723.81
 2007   0.0      6.2     745.03
 2008   0.0      6.3     752.94
 2009   0.0      6.1     765.49
 2010   0.0      5.8     793.96
 2011   0.0      5.9     822.90
