localdata,globaldata,date,x,y,localylabel,globalylabel,annotation,title,intro,imgsrc,datasrc,fastfacts,moreinfo,moreinfosrc
null,196.94,20940,null,null,,,,,,,,,,
null,196.49,20971,null,null,,,,,,,,,,
null,202.24,21001,null,null,,,,,,,,,,
null,202,21032,null,null,,,,,,,,,,
null,198.98,21063,null,null,,,,,,,,,,
null,208.14,21093,null,null,,,,,,,,,,
null,208.64,21124,null,null,,,,,,,,,,
null,231.21,21154,null,null,,,,,,,,,,
null,230.74,21185,null,null,,,,,,,,,,
null,212.89,21216,null,null,,,,,,,,,,
null,229.67,21244,null,null,,,,,,,,,,
null,207.29,21275,null,null,,,,,,,,,,
null,202.85,21305,null,null,,,,,,,,,,
null,204.23,21336,null,null,,,,,,,,,,
null,206.14,21366,null,null,,,,,,,,,,
null,209.73,21397,null,null,,,,,,,,,,
null,203.82,21428,null,null,,,,,,,,,,
null,211.85,21458,null,null,,,,,,,,,,
null,216.36,21489,null,null,,,,,,,,,,
null,237.6,21519,null,null,,,,,,,,,,
null,249.93,21550,null,null,,,,,,,,,,
null,227.21,21581,null,null,,,,,,,,,,
null,238.1,21609,null,null,,,,,,,,,,
null,218.59,21640,null,null,,,,,,,,,,
null,213.16,21670,null,null,,,,,,,,,,
null,214.2,21701,null,null,,,,,,,,,,
null,217.7,21731,null,null,,,,,,,,,,
null,218.44,21762,null,null,,,,,,,,,,
null,217.51,21793,null,null,,,,,,,,,,
null,228.71,21823,null,null,,,,,,,,,,
null,227.58,21854,null,null,,,,,,,,,,
null,248.56,21884,null,null,,,,,,,,,,
null,262.16,21915,null,null,,,,,,,,,,
null,237.64,21946,null,null,,,,,,,,,,
null,244.46,21975,null,null,,,,,,,,,,
null,229.35,22006,null,null,,,,,,,,,,
null,221.98,22036,null,null,,,,,,,,,,
null,226.08,22067,null,null,,,,,,,,,,
null,232.81,22097,null,null,,,,,,,,,,
null,230.17,22128,null,null,,,,,,,,,,
null,231,22159,null,null,,,,,,,,,,
null,240.3,22189,null,null,,,,,,,,,,
null,239.42,22220,null,null,,,,,,,,,,
null,262.48,22250,null,null,,,,,,,,,,
null,267.96,22281,null,null,,,,,,,,,,
null,247.75,22312,null,null,,,,,,,,,,
null,262.97,22340,null,null,,,,,,,,,,
null,239.88,22371,null,null,,,,,,,,,,
null,237.48,22401,null,null,,,,,,,,,,
null,238.24,22432,null,null,,,,,,,,,,
null,243.21,22462,null,null,,,,,,,,,,
null,244.82,22493,null,null,,,,,,,,,,
null,239.54,22524,null,null,,,,,,,,,,
null,249.83,22554,null,null,,,,,,,,,,
null,251.97,22585,null,null,,,,,,,,,,
null,267.85,22615,null,null,,,,,,,,,,
null,275.7,22646,null,null,,,,,,,,,,
null,259.84,22677,null,null,,,,,,,,,,
null,274.77,22705,null,null,,,,,,,,,,
null,251.63,22736,null,null,,,,,,,,,,
null,247.88,22766,null,null,,,,,,,,,,
null,249.4,22797,null,null,,,,,,,,,,
null,256.09,22827,null,null,,,,,,,,,,
null,257.02,22858,null,null,,,,,,,,,,
null,249.25,22889,null,null,,,,,,,,,,
null,256.91,22919,null,null,,,,,,,,,,
null,264.9,22950,null,null,,,,,,,,,,
null,284.08,22980,null,null,,,,,,,,,,
null,288.32,23011,null,null,,,,,,,,,,
null,266.49,23042,null,null,,,,,,,,,,
null,281.93,23070,null,null,,,,,,,,,,
null,260.72,23101,null,null,,,,,,,,,,
null,255.42,23131,null,null,,,,,,,,,,
null,256.12,23162,null,null,,,,,,,,,,
null,260.66,23192,null,null,,,,,,,,,,
null,263.08,23223,null,null,,,,,,,,,,
null,258.89,23254,null,null,,,,,,,,,,
